Season,Nation,Name,Number,Position,PremierLeagueApps,PremierLeagueGoals,FaCupApps,UEFACupApps,FaCupGoals,UEFACupGoals,LeagueCupApps,LeagueCupGoals,ChampionsLeagueApps,ChampionsLeagueGoals,EuropaLeagueApps,EuropaLeagueGoals,Born,PremierLeagueSubs,AgeAugust,Age,ExtraM,ExtraD
2000-01,Netherlands,Ed de Goey,1,GK,15,0.0,0,0.0,0.0,0.0,1,0.0,,,,,1966-12-20,0,2000-08-01,33.0,7.0,12.0
2000-01,England,Jon Harley,34,DF,6,0.0,2,0.0,0.0,0.0,0,0.0,,,,,1979-09-26,4,2000-08-01,20.0,10.0,6.0
2000-01,Denmark,Jesper Grønkjær,30,MF,6,1.0,2,0.0,2.0,0.0,0,0.0,,,,,1977-08-12,8,2000-08-01,22.0,11.0,20.0
2000-01,Georgia(country),Rati Aleksidze,27,MF,0,0.0,0,1.0,0.0,0.0,0,0.0,,,,,1978-08-03,2,2000-08-01,21.0,11.0,29.0
2000-01,England,John Terry,26,DF,19,1.0,3,0.0,0.0,0.0,1,0.0,,,,,1980-12-07,3,2000-08-01,19.0,7.0,25.0
2000-01,Italy,Gianfranco Zola,25,FW,31,9.0,3,2.0,2.0,0.0,1,1.0,,,,,1966-07-05,5,2000-08-01,34.0,0.0,27.0
2000-01,Italy,Samuele Dalla Bona,24,MF,26,2.0,1,2.0,0.0,0.0,0,0.0,,,,,1981-02-06,3,2000-08-01,19.0,5.0,26.0
2000-01,Iceland,Eiður Guðjohnsen,22,FW,17,10.0,3,3.0,3.0,0.0,1,0.0,,,,,1978-09-15,13,2000-08-01,21.0,10.0,17.0
2000-01,France,Bernard Lambourde,21,DF,0,0.0,0,0.0,0.0,0.0,0,0.0,,,,,1971-05-11,1,2000-08-01,29.0,2.0,21.0
2000-01,England,Jody Morris,20,MF,12,0.0,1,3.0,0.0,0.0,1,0.0,,,,,1978-12-22,9,2000-08-01,21.0,7.0,10.0
2000-01,Spain,Albert Ferrer,17,DF,12,0.0,3,0.0,0.0,0.0,0,0.0,,,,,1970-06-06,2,2000-08-01,30.0,1.0,26.0
2000-01,Italy,Roberto Di Matteo,16,MF,8,0.0,0,2.0,0.0,0.0,0,0.0,,,,,1970-05-29,0,2000-08-01,30.0,2.0,3.0
2000-01,Italy,Carlo Cudicini,23,GK,23,0.0,3,2.0,0.0,0.0,0,0.0,,,,,1973-09-06,1,2000-08-01,26.0,10.0,26.0
2000-01,England,Graeme Le Saux,14,DF,17,0.0,2,2.0,0.0,0.0,0,0.0,,,,,1968-10-17,3,2000-08-01,31.0,9.0,15.0
2000-01,Netherlands,Mario Melchiot,15,DF,27,0.0,1,1.0,0.0,1.0,1,0.0,,,,,1976-11-04,4,2000-08-01,23.0,8.0,28.0
2000-01,Italy,Christian Panucci,2,DF,7,0.0,0,2.0,0.0,1.0,0,0.0,,,,,1973-04-12,1,2000-08-01,27.0,3.0,20.0
2000-01,Nigeria,Celestine Babayaro,3,DF,19,0.0,2,0.0,0.0,0.0,1,0.0,,,,,1978-08-29,5,2000-08-01,21.0,11.0,3.0
2000-01,France,Frank Leboeuf,5,DF,24,0.0,2,2.0,0.0,0.0,0,0.0,,,,,1968-01-22,2,2000-08-01,32.0,6.0,10.0
2000-01,Netherlands,Winston Bogarde,7,DF,9,0.0,0,1.0,0.0,0.0,1,0.0,,,,,1970-10-22,0,2000-08-01,29.0,9.0,10.0
